연번,업소명,소재지,전화번호,업종
277,㈜대봉,고양시 일산동구 동국로 262 (식사동),031-968-7278,비금속 광물 분쇄물 생산업
278,신세기그린,고양시 일산동구 성현로268번길 95-15 (성석동),031-907-3877,폐기물수집운반업
279,컴인워시 일산점,고양시 일산서구 경의로 909-9  (덕이동)   ,,자동차세차업
280,중산자동차,고양시 일산동구 고봉로531번길 43 (성석동),031-977-4733,자동차세차업
281,주식회사 너멍골,고양시 덕양구 호국로 1259 (신원동),02-371-2264,차량용 주유소 운영업
282,천우모터스㈜,고양시 일산동구 백마로 512 (풍동),02-799-0500,자동차종합수리업
283,(주)보성모터스,고양시 일산서구 덕이로 229 (덕이동),031-917-7373,자동차종합수리업
284,1급행복한자동차공업사,고양시 덕양구 용현로5번길 30 (행신동),,자동차세차업
285,JS세차장,고양시 일산서구 일청로 131 (탄현동),,자동차세차업
286,삼성엘리트인쇄㈜,고양시 일산동구 사리현로 203-19 (사리현동),031-906-7766,기타인쇄업
287,현대미디어,고양시 일산동구 장항로 299-5 (장항동),031-902-0668,기타인쇄업
288,㈜태안모터스,고양시 일산서구 송파로 131 (가좌동),,자동차종합수리업
289,디테일링월드,고양시 일산서구 멱절길 18 (법곳동),031-911-9089,자동차종합수리업
290,동광시스템,고양시 일산동구 동국로 335-19 (문봉동),031-968-0900,가구 및 기타 제품제조업(금속가구)
291,장항주유소,고양시 일산동구 장항로 277 (장항동),031-903-3322,차량용 주유소 운영업
292,믿음자동차,고양시 일산동구 고봉로 688 (설문동),,자동차세차업
293,(재)천주교서울대교구유지재단 가톨릭출판사,고양시 일산동구 노첨길 65 (장항동),02-6365-1828,기타인쇄업
294,다인카워시,"고양시 덕양구 삼송로 245, 나동 (지축동)",02-371-1779,자동차세차업
295,광명사,고양시 일산동구 노첨길36번길 39 (장항동),031-908-0708,기타인쇄업
296,세이프,고양시 덕양구 서오릉로 829 (성사동),,자동차세차업
297,에이치디현대오일뱅크㈜직영 일산가좌셀프주유소,고양시 일산서구 동서대로 352 (가좌동),031-923-8500,차량용 주유소 운영업
298,㈜길훈씨앤피,"고양시 일산동구 노첨길 81 (장항동), 라동",031-905-7846,기타인쇄업
299,㈜메가프레스,"고양시 일산동구 견달산로225번길 81, 가동 (식사동)",,기타인쇄업
300,농업회사법인 정성가득김치㈜,고양시 덕양구 내유길124번길 15-1(내유동),1577-0517,식품제조업(김치제조업)
301,오케이씨티피,"고양시 일산동구 장대길 42-23,라동 (장항동)",031-904-9707,기타인쇄업
302,삼성아이앤비㈜,"고양시 일산동구 공릉천로175번길 93-17, 1층 (사리현동)",02-3665-1212,기타인쇄업
303,경일석유㈜ 신우주유소,고양시 일산동구 고양대로 952(식사동),02-3481-7100,차량용 주유소 운영업
304,우진레미콘㈜,고양시 덕양구 흥도로 79,031-971-8980,레미콘제조업
305,동일사진문화,고양시 일산서구 송포로 391번길 80 외 1필지(가좌동),031-923-0744,기타인쇄업
306,제이엠프린팅,"고양시 일산동구 장항로 203-129, 1층(장항동)",031-906-8973,기타인쇄업
307,텔미세차장,고양시 일산동구 견달산로 232(식사동),031-968-3131,자동차세차업
308,㈜청명산업,고양시 덕양구 통일로 1031번길 346 (내유동),031-962-7005,폐기물처리업
309,소낙스 고양 식사점,"고양시 일산동구 위시티로 25, B01호(식사동)",,자동차세차업
310,국토안전관리원,고양시 일산서구 고양대로 315 (대화동),031-910-3696,자동차세차업
311,카챔자동차공업정비회사,고양시 일산동구 고양대로 864-33(중산동),,자동차세차업
312,(주)어울림주유소,고양시 덕양구 충장로 407(화정동),,차량용 주유소 운영업
313,(주)대성프린팅,고양시 일산동구 장대길 64-128,031-903-5433,기타인쇄업
314,광신산업㈜,고양시 덕양구 통일로 1031번길 296,031-968-7026,비금속 광물 분쇄물 생산업
315,아우토슈타트㈜,고양시 일산서구 고양대로 136(법곳동),031-932-0919,자동차세차업
316,발해,고양시 일산동구 장항로 297-33(장항동),031-906-3413,기타 인쇄업
317,한강인쇄,고양시 일산동구 장대길 86-74(장항동),031-907-0686,기타 인쇄업
318,연진 SP,"고양시 일산동구 장항로 155-4, 가동",031-908-0378,기타인쇄업
319,다비드코딩,고양시 덕양구 대덕로 123(현천동),,자동차세차업
320,㈜선진운수,고양시 덕양구 호국로 992(원당동),,차량용 주유소 운영업
321,워시엔카,고양시 덕양구 강매로 216번길 6(강매동),031-979-2558,자동차세차업
322,향동손세차장,"고양시 덕양구 중앙로 136, 101호(화전동)",02-3158-2111,자동차세차업
323,이레금박,고양시 일산동구 장대길 128-16(장항동),031-903-2366,실크인쇄
324,든든한병원,고양시 일산서구 하이파크2로 60,031-903-2366,병원
325,오토보겐코리아,고양시 일산서구 대화로 36(법곳동),,자동차세차업
326,주식회사 양지토탈,"고양시 일산동구 장대길 30-1, 2층(장항동)",031-945-2145,기타인쇄업
327,하이코팅,"고양시 일산동구 장대길 64-108, 나동(장항동)",031-902-7190,기타인쇄업
328,㈜예컴미디어,"고양시 일산동구 장항로 187, 2층(장항동)",02-335-3044,기타인쇄업
329,호수공원주유소,고양시 일산동구 백마로 108(장항동),031-901-5188,차량용 주유소 운영업
330,두땀빌딩,고양시 일산동구 고양대로 759 (중산동),,자동차세차업
331,포포타운,"고양시 일산서구 하이파크3로 24, 1층(덕이동)",031-906-8629,자동차세차업
332,워시존,고양시 일산동구 고일로 138(풍동),031-904-1600,자동차세차업
333,컴인워시HD고양화정점,고양시 덕양구 화중로 38(화정동),031-972-5145,차량용 주유소 운영업
334,주식회사 어반크러쉬(아이러브워시),고양시 일산동구 고양대로 950 (식사동),,자동차세차업
335,덕이동 에스클래스,고양시 일산서구 송산로 531(덕이동),,자동차세차업
336,송림특수제지,고양시 일산동구 은마길63번길 7(설문동),031-977-6810,기타인쇄업
337,성암쇄석㈜,고양시 덕양구 덕은로 109(덕은동),02-3159-8942,비금속광물 분쇄물 생산업 세륜시설
338,삼송현대서비스㈜,고양시 덕양구 큰골길 10(오금동),02-381-9955,자동차세차업
339,경서 자동차 손 세차장,고양시 덕양구 동헌로 439 (고양동),031-963-9887,자동차세차업
340,본 디테일링 스튜디오,고양시 일산동구 동국로 81-8(식사동),,자동차세차업
341,현대자동차㈜,고양시 일산서구 킨텍스로 217-6,031-925-8655,자동차세차업
342,카워시가든,고양시 덕양구 고양대로 1904(동산동),02-356-7782,자동차세차업
343,대신석유(주)대자주유소,고양시 덕양구 통일로 499(대자동),031-969-5186,차량용 주유소 운영업
344,Y.J카케어,"고양시 일산동구 고일로 4-1, 101호(식사동)",,자동차세차업
345,(주)정발산,고양시 일산동구 경의로 468(정발산동),,차량용 주유소 운영업
346,대륭산업,고양시 일산동구 마골길 93. 가동(성석동),,산업용 세탁업
347,㈜보광문화사 ,고양시 일산동구 장대길 122 가동,031-932-8220,기타인쇄업
348,인화씨앤피,고양시 일산동구 장항로 203-34 (장항동),031-908-5091,기타인쇄업
349,서오능가스㈜,고양시 덕양구 권율대로 450-1,02-383-4122,차량용가스충전업
350,부광주유소 원당점,고양시 덕양구 원당로 433,,차량용 주유소 운영업
351,현대모터스,고양시 덕양구 용두로 25,,자동차세차업
352,오토얼라이언스,고양시 일산동구 사리현로 211 나동,,자동차세차업
353,알파카케어,고양시 일산서구 덕이로 30-15 다동,,자동차세차업
354,에프에이치프린팅,고양시 일산동구 장대길 122 가동 2층,031-943-3238,기타인쇄업
355,㈜중흥에너지 한양주유소,고양시 덕양구 권율대로 593,031-903-2222,차량용 주유소 운영업
356,월드타워손세차,고양시 덕양구 도래울2로 3    2층,,자동차세차업
357,㈜삼표에너지 삼송주유소,고양시 덕양구 신원1로 93,02-381-8341,차량용 주유소 운영업
358,늘푸른셀프세차장,고양시 덕양구 호국로 1417,,자동차세차업
359,달인손세차,고양시 일산동구 고봉로 563,,자동차세차업
360,고봉산재래한증막,고양시 일산동구 성석로 67,031-975-2535,욕탕업
361,㈜청광문화사(지점),고양시 일산동구 장항로 139-21 2층 제판실,031-901-5033,기타인쇄업
362,비티씨세차장,고양시 일산서구 덕이로 104-16,031-922-3025,자동차세차업
363,관산운수주식회사,고양시 일산동구 성현로268번길 315,,시내버스 운송업
364,프리미엄모터스,고양시 일산동구 백마로 473,,자동차세차업
365,쌍용세차장,고양시 덕양구 무원로 8 ,031-979-5581,자동차세차업
366,풍동세차장,고양시 일산동구 백마로 468,031-905-4567,자동차세차업
367,엠제이샤인,"고양시 일산서구 대화로 44   101, 102",,자동차세차업
368,타이어테크중산점,고양시 일산동구 고양대로 845,031-905-9999,자동차세차업
369,럭키워시,고양시 일산서구 경의로789번길 34 가동,,자동차세차업
370,21세기세차장,고양시 일산동구 고양대로 900-28,,자동차세차업
371,루페스 빅풋 디테일링센터 일산점,고양시 일산서구 덕산로104번길 12,031-925-2422,자동차세차업
372,㈜삼정건설기계일산지점,고양시 일산동구 문원길 87,,자동차종합수리업
373,굿모닝건강랜드,고양시 일산동구 고양대로 1030,031-964-7070,욕탕업
374,㈜상암상사,고양시 덕양구 자유로 38,02-3158-0030,차량용 주유소 운영업
375,레인보우 셀프세차장,고양시 덕양구 신원1로 10  2동 ,,자동차세차업
376,아트샤인,고양시 일산서구 미래로 184-15,,자동차세차업
377,주식회사 드림오브컴퍼니 에스씨모터스 랩지점,고양시 덕양구 통일로 1196 (내유동),031-903-0122,자동차세차업
378,㈜이지스오토랩,고양시 덕양구 고양대로 1972-8,,자동차세차업
379,카리스마 디팩토리 덕이점,고양시 일산서구 경의로 953-3 (덕이동),,자동차세차업
380,㈜삼신문화,고양시 일산서구 송산로 174번길 13-54,02-715-6665,"기타출판,인쇄업"
381,더블유카워시 삼송점,고양시 덕양구 신원1로 16,,자동차세차업
382,리플렉스,고양시 일산동구 지영로 36-1,,자동차세차업
383,㈜원일에너지,고양시 일산동구 문원길 37,031-977-0270,차량용가스충전업
384,케이씨씨모빌리티㈜,고양시 일산동구 백마로 536-30,,자동차세차업
385,원일대형세차장,고양시 일산동구 장진천길 14-7 지하1층,,자동차세차업
386,러스코리아,고양시 일산동구 장항로 70 2동,,자동차세차업
387,㈜그린워크기업,고양시 일산동구 중산로 306-198,,폐기물수집운반업
388,몬스터워시,고양시 덕양구 고양대로 2020-1,,자동차세차업
389,몬스터워시,고양시 덕양구 고양대로2024번길 1,,자동차세차업
390,홍성주식회사,고양시 덕양구 동헌로 111,,기타도시정기육상여객운송업
391,설문IC주유소,고양시 일산동구 고봉로 799,,차량용 주유소 운영업
392,㈜한양컨트리클럽,고양시 덕양구 고양대로 1643번길164,031-960-6952,골프장운영업
393,명장,고양시 일산서구 덕이로 281-5 (덕이동),,자동차세차업
394,대성프로세스,"고양시 일산동구 노첨길36번길 26-7 , A동 (장항동) ",031-907-2415,"기타출판,인쇄업"
395,㈜드림애드앤프린팅그룹,고양시 일산동구 장대길 64-4 (장항동),02-2637-2752,"기타출판,인쇄업"
396,일산전기자동차충전소,고양시 일산동구 장항로 31,,자동차전기충전소
397,OK카워시,고양시 덕양구 토당로 15,031-979-2414,자동차세차업
398,카프성모병원,고양시 일산동구 일산로 86,031-810-9000,병원
399,선도시스템,고양시 일산동구 장대길 99-22  1층,031-906-9023,"기타출판,인쇄업"
400,성현J,고양시 일산동구 장대길 106-36 1층,031-903-5081,"기타출판,인쇄업"
401,클린앤터치(본점),고양시 덕양구 호국로 1383-1,,자동차세차업
402,일산차병원,고양시 일산동구 중앙로 1205,031-782-8781 ,병원
403,삼성인쇄,고양시 일산동구 견달산로194번길 29 (식사동),031-968-6922,"기타출판,인쇄업"
404,㈜신석,"고양시 일산동구 견달산로 348-56, 348-61",031-977-7461,비금속광물분쇄처리업
405,몬스터개러지,고양시 일산동구 애니골길 16,,자동차세차업
406,대광그린산업,고양시 일산동구 은마길 63번길 15,031-977-5016,폐기물처리업
407,거호프로세스,고양시 일산동구 장대길 64-112,031-902-2416,"기타출판,인쇄업"
408,말 달리자 오일나우,고양시 덕양구 통일로 226,,차량용 주유소 운영업
409,지점 갤러리 광택,고양시 일산동구 백마로 478,031-901-4454,자동차세차업
410,서울문산고속도로㈜,고양시 일산동구 고봉로 770번길 82,,터널공사업
411,세차스토리by Ryu,고양시 덕양구 중앙로 34,,자동차세차업
412,㈜내유셀프주유소,고양시 덕양구 통일로 1230,031-723-6221,차량용 주유소 운영업
413,㈜테크디엔피,"고양시 덕양구 향동로 218, 비동 2,8층 235,236,845호 (향동동, 현대테라타워디엠씨)",02-365-3704 ,"출판,인쇄소"
414,더엠,"고양시 일산동구 장항로225번길 226, 3동 1,2층",031-901-6116,"기타출판,인쇄업"
415,㈜바바리안모터스,고양시 일산서구 법곳길115번길 56-18,,자동차세차업
416,그린세차장,고양시 일산동구 동국로 99-4 (식사동),,자동차세차업
417,창성명품세차,고양시 일산동구 동국로 100,,자동차세차업
418,와이케이브로,고양시 일산동구 동국로223번길 25,,자동차세차업
419,JK DETAILING,고양시 일산동구 고양대로 1119번길 38,,자동차세차업
420,뉴그린 손세차,"고양시 일산동구 장항로 309, 나동 (장항동)",,자동차세차업
421,샵모빌리티,고양시 일산서구 덕산로 195번길 19,,자동차세차업
422,엘앤에스,고양시 일산동구 호수로 256-128,031-924-0853,자동차전기충전소
423,㈜콘도르,고양시 덕양구 통일로 313,,자동차세차업
424,㈜오토스테이 일산지점,고양시 일산동구 풍산로 11 (풍동),070-5117-0840,자동차세차업
425,루페스 빅풋 디테일링센터 일산동구점,고양시 일산동구 무궁화로 373-1,,자동차세차업
426,바로서비스,"고양시 덕양구 권율대로 896-21, 1층",,자동차세차업
427,올리브세차장,고양시 일산동구 고양대로 1070,,자동차세차업
428,창릉세차장,고양시 덕양구 봉산로 287-68,,자동차세차업
429,아이비테크,고양시 일산동구 성석로92번길 113,031-976-6171,기타 인쇄업
430,㈜고양벽제현대서비스,고양시 덕양구 혜음로 240,,자동차세차업
431,AK WASH,고양시 덕양구 충장로 273,,자동차세차업
432,㈜주연산업개발,고양시 일산동구 동국로 159,031-967-6281,자동차세차업
433,㈜화정교통,고양시 덕양구 공양왕길 11,,마을버스 운수업
434,세차는못말려,고양시 일산서구 덕이로 165,,자동차세차업
435,워시멜로 창릉 전기차 충전소,고양시 덕양구 항공대학로 40,,자동차전기충전소
436,성신전기차충전소,고양시 덕양구 대자동 63-14,,자동차전기충전소
437,㈜알앤엠,고양시 일산동구 호수로 256-186,,자동차전기충전소
438,휴먼&카,고양시 일산서구 가좌로50번길 1,,자동차세차업
439,빅토리워시 고양시청점,고양시 덕양구 고양대로1315번길 11,031-969-0960,자동차전기충전소
440,권율대로 전기충전소,고양시 덕양구 권율대로 451,,자동차전기충전소
441,프로카워시,고양시 일산서구 대화로 362 (대화동),,자동차세차업
442,㈜에피닉스,고양시 덕양구 화랑로 57-16,,자동차세차업
443,㈜노디에스,"고양시 일산동구 장대길 86-56, 가동 (장항동)",031-906-1777,오프셋 인쇄업
444,배다골,고양시 덕양구 호국로1121번길 150-9,,자동차전기충전소
445,하나에너지,고양시 덕양구 마상로 32,,시내버스 운수업
446,대명셀프세차장,"고양시 일산동구 고양대로1021번길 59, 1~3층",,자동차세차업
447,컴인워시 고양점,고양시 덕양구 통일로 1176,,자동차세차업
448,㈜태건비에프,고양시 일산서구 덕산로57번길 25,031-923-6400,전기장치 제조업
449,헬로디테일링,"고양시 일산동구 동국로 109-24, 2동",,자동차세차업
450,㈜네오메디칼제약,고양시 일산동구 성현로 155-34,031-906-5056,"치약, 비누 및 기타 세제 제조업"
451,골드워시 원흥점,고양시 덕양구 서오릉로663번길 31,,자동차세차업
452,비케이(BK),"고양시 일산서구 덕산로57번길 30-3, 가동",031-925-9018,제판및조판업
453,버니오토워시(고양향동점),고양시 덕양구 향동로 133 (향동동),,자동차세차업
454,㈜굿씨드,고양시 덕양구 보광로 325-39,031-969-1966,건강기능식품제조업
455,두리광택,"고양시 일산동구 백마로 478, 비동 지하210호 (풍동)",,자동차세차업
456,㈜프로메테우스미디어,고양시 일산동구 장대길105번길 86,070-8834-0151,기타인쇄업
457,㈜오토스테이 덕양지점,고양시 덕양구 자유로 88,070-8893-0506,자동차세차업
458,워시랜드,고양시 덕양구 대장동 571-10,,자동차세차업
459,일산 K 충전소,"고양시 덕양구 고양대로 1174-11, 1182 (주교동)",,전기차충전소
460,에이스정비사업소2공장,고양시 일산서구 송산로 559-20,,자동차종합수리업
461,원일모빌리티(WONIL MOBILITY),고양시 일산동구 장진천길 48 (설문동),031-932-5200~1,자동차세차업
462,노바카워시,"고양시 덕양구 토당동 693-16, -83",,자동차세차업
463,테슬라코리아(유),"고양시 일산서구 덕이동 1045-9,-12",,자동차 종합 수리업
464,"세차의 고수 고양,파주",고양시 일산동구 설문동 720-6,,자동차세차업
465,고양교통㈜,고양시 일산동구 동국로 283-35,,시내버스운송업
466,(주) 브리티쉬모터서비스,고양시 일산서구 덕산로 184-8 (가좌동),,자동차종합수리업
467,삼육칼라프로세스,"고양시 일산동구 장대길 64-64, 2층 (장항동)",031-902-3667,기타인쇄업
468,와이파이(WIPI),고양시 일산동구 고봉로 863 (설문동),,자동차세차업
469,조이(Joy) 카워시 게러지,고양시 일산서구 송산로 498-8 (덕이동),,자동차세차업
470,㈜삼성리사이클링,"고양시 일산동구 견달산로 318, 320 (문봉동)",031-970-1172,폐기물수집운반업
471,임대 J.S,고양시 덕양구 강매로 201 (강매동),,전기차충전소
472,배다리충전소세차,고양시 덕양구 고양대로 1445-67 (성사동),,전기차충전소
473,파란하늘,"고양시 일산동구 장대길 86-70, 나동 (장항동)",,제판및조판업
474,의료법인자인의료재단(더자인병원),"고양시 덕양구 중앙로 555, 지하1, 1-10층 (행신동)",1688-5533,병원
475,어울림 카워시,"고양시 덕양구 화정동 188-47, 92, 93, 94",,자동차세차업
476,디테일힐,고양시 일산동구 견달산로 192-4 (식사동),,자동차세차업
477,신고려관광㈜,"고양시 덕양구 신원2로 57, 뉴코리아컨트리클럽 (신원동)",02-353-0091,골프장운영업
478,신원동전기차충전소,고양시 덕양구 신원동 265-5,,전기차충전소
479,킹콩샤워 상암점,고양시 덕양구 중앙로152번길 12 (화전동),,자동차세차업
480,고양 백두 전기차 충전소,고양시 덕양구 원흥동 333-19,,전기차충전소
481,진성 전기자동차 충전소,고양시 덕양구 향동동 산 31-1번지,,전기차충전소
482,㈜에쓰에이치엠,고양시 일산동구 사리현동 498-8,031-965-2371,그 외 기타 특수목적용 기계 제조업
483,백석동 셀프세차장 전기차 충전소,고양시 일산동구 장항로 13외 2필지,,전기차충전소
484,주식회사 오토스테이 화정,고양시 덕양구 충장로 402 (화정동),,자동차세차업
485,덕양충전소,고양시 덕양구 서오릉로 836 (성사동),,자동차세차업
486,브라더오토케어,"고양시 덕양구성석로 156, 가동 (성석동)",,자동차세차업
487,삼사십이 주식회사,고양시 덕양구 고양대로 1569-1 (성사동),,전기차충전소
488,신항공세차장,고양시 일산동구 동국로 99-13 (식사동),,자동차세차업
489,주식회사와이제이스틸,고양시 덕양구 보광로 180 (벽제동),,자동차세차업
490,이지스 제트워시,고양시 덕양구 고양대로 1992 (동산동),,자동차세차업
491,디테일링CW 일산점,"고양시 일산서구 덕이로 30-8, 양우씨네플렉스 제1층 제비-109,110,111,112호 (덕이동)",,자동차세차업
492,주식회사 명성,"고양시 일산동구 설문동 707-1 외 5필지(587-2, 588, 589-7, 708, 708-2번지)",,시내버스 운송업
493,싹다카워시,"고양시 덕양구 삼송로205번길 48, 1층 103호 (삼송동, 서보프라자)",,자동차세차업
494,선진미래,"고양시 일산서구 덕산로57번길 27-25, 라동 1층 (구산동)",,제판및조판업
495,경성문화사,고양시 일산동구 장대길 128-66 (장항동),02-786-2999 ,제판및조판업
496,㈜지앤비에스에코 원흥신도시,고양시 덕양구 서오릉로 619 (도내동),031-658-6275,차량용 주유소 운영업
497,모든자동차,고양시 일산서구 멱절길 17 (법곳동),,자동차세차업
498,주식회사 원흥,고양시 덕양구 호국로 1113 (원당동),,차량용 주유소 운영업
499,성사충전소,고양시 덕양구 충장로350번길 152,,전기차충전소
500,케이씨씨모터스㈜,고양시 일산동구 은행마을로 46-31 (식사동),,자동차세차업
501,금강손세차장,고양시 일산서구 덕이동 309-10,,자동차세차업
502,주식회사 에이치제이중공업,고양시 덕양구 용두동 1-101,,터널공사업
503,현대오토정비센터,"고양시 일산동구 성석동 986-7, 1층",,자동차세차업
504,대장동전기자동차,고양시 덕양구 대장동 241-2,,자동차세차업
505,화신문화㈜ 고양지사,"고양시 일산동구 장항로 189, 1층 (장항동)",,제판및조판업
506,아이엔,"고양시 일산동구 장대길 160-46, 2층 (장항동)",,제판및조판업
507,㈜창문이야기,고양시 덕양구 내유길131번길 117 (내유동),,판유리 가공품 제조업
508,(사)우리들행복나눔 인쇄사업단,고양시 일산서구 덕산로 196-6(가좌동),,제판및조판업
509,레오,"고양시 덕양구 화정동 688-7, 688-8",,시내버스 운송업
510,싹다카워시,"고양시 덕양구 삼송로205번길 48, 1층 103호 (삼송동, 서보프라자)",,자동차세차업
